species_pair	marker	differences	differences_per_100_columns	alignment_stable
L. mexicana – L. guyanensis	Miniexon	147	55.471698	no
L. mexicana – L. guyanensis	HSP20	54	16.927900	yes
L. mexicana – L. guyanensis	HSP70 coding	78	5.652174	yes
L. mexicana – L. guyanensis	HSP70 3′ UTR	259	36.376404	no
L. mexicana – L. guyanensis	Cytochrome b	96	11.009174	yes
L. mexicana – L. braziliensis	ITS1	124	40.129450	yes
L. mexicana – L. braziliensis	ITS2	139	31.590909	no
L. mexicana – L. braziliensis	Miniexon	148	55.430712	no
L. mexicana – L. braziliensis	HSP20	51	15.987461	yes
L. mexicana – L. braziliensis	HSP70 coding	75	5.434783	yes
L. mexicana – L. braziliensis	HSP70 3′ UTR	295	41.903409	no
L. mexicana – L. braziliensis	Cytochrome b	94	10.779817	yes
L. infantum – L. panamensis	ITS1	89	30.272109	yes
L. infantum – L. panamensis	ITS2	133	31.147541	no
L. infantum – L. panamensis	Miniexon	105	69.078947	no
L. infantum – L. panamensis	HSP20	52	16.300940	yes
L. infantum – L. panamensis	HSP70 coding	66	4.782609	yes
L. infantum – L. panamensis	HSP70 3′ UTR	290	38.926174	no
L. infantum – L. panamensis	Cytochrome b	90	10.321101	yes
L. infantum – L. guyanensis	ITS1	89	30.272109	yes
L. infantum – L. guyanensis	ITS2	130	30.232558	no
L. infantum – L. guyanensis	Miniexon	104	68.421053	no
L. infantum – L. guyanensis	HSP20	52	16.300940	yes
L. infantum – L. guyanensis	HSP70 coding	68	4.927536	yes
L. infantum – L. guyanensis	HSP70 3′ UTR	293	39.328859	no
L. infantum – L. guyanensis	Cytochrome b	89	10.206422	yes
L. infantum – L. braziliensis	ITS1	87	29.794521	yes
L. infantum – L. braziliensis	ITS2	122	28.571429	no
L. infantum – L. braziliensis	Miniexon	105	69.078947	no
L. infantum – L. braziliensis	HSP20	48	15.047022	yes
L. infantum – L. braziliensis	HSP70 coding	66	4.782609	yes
L. infantum – L. braziliensis	HSP70 3′ UTR	334	45.196211	no
L. infantum – L. braziliensis	Cytochrome b	86	9.862385	yes
L. donovani – L. panamensis	ITS1	90	30.405405	yes
L. donovani – L. panamensis	ITS2	133	31.147541	no
L. donovani – L. panamensis	Miniexon	287	77.567568	no
L. donovani – L. panamensis	HSP20	52	16.300940	yes
L. donovani – L. panamensis	HSP70 coding	65	4.710145	yes
L. donovani – L. panamensis	HSP70 3′ UTR	278	37.978142	no
L. donovani – L. panamensis	Cytochrome b	93	10.665138	yes
L. donovani – L. guyanensis	ITS1	90	30.405405	yes
L. donovani – L. guyanensis	ITS2	130	30.232558	no
L. donovani – L. guyanensis	Miniexon	286	77.297297	no
L. donovani – L. guyanensis	HSP20	52	16.300940	yes
L. donovani – L. guyanensis	HSP70 coding	67	4.855072	yes
L. donovani – L. guyanensis	HSP70 3′ UTR	281	38.387978	no
L. donovani – L. guyanensis	Cytochrome b	92	10.550459	yes
L. donovani – L. braziliensis	ITS1	88	29.931973	yes
L. donovani – L. braziliensis	ITS2	122	28.571429	yes
L. donovani – L. braziliensis	Miniexon	284	76.549865	no
L. donovani – L. braziliensis	HSP20	48	15.047022	yes
L. donovani – L. braziliensis	HSP70 coding	65	4.710145	yes
L. donovani – L. braziliensis	HSP70 3′ UTR	319	43.939394	no
L. donovani – L. braziliensis	Cytochrome b	89	10.206422	yes
